"site","school","id","wave","male","math","sci"
4,204,5230,3,0,80.69,72.93
4,204,5230,4,0,NA,NA
4,204,5303,2,1,NA,NA
4,204,5303,3,1,NA,33.68
4,204,5303,4,1,47.39,30.53
4,204,5303,1,1,49.18,47.13
4,204,5521,2,0,62.47,66.14
4,204,5521,3,0,75.28,66.17
4,204,5521,4,0,64.48,NA
4,204,5521,1,0,66.38,59.8
4,204,5719,1,1,75.62,68.18
4,204,5719,2,1,68.88,66.22
4,204,5719,3,1,71.14,74.09
4,204,5719,4,1,78.95,71.65
4,204,5895,3,1,79.11,76.55
4,204,5895,1,1,66.59,64.85
4,204,5895,4,1,NA,NA
4,204,5895,2,1,74.51,69.14
4,204,6000,1,1,71.79,71.3
4,204,6000,2,1,82,74.76
4,204,6000,3,1,86.45,76.21
4,204,6000,4,1,NA,NA
4,204,6091,1,0,72.11,71.86
4,204,6091,2,0,NA,73.23
4,204,6091,3,0,80.44,73.23
4,204,6091,4,0,NA,NA
4,204,6164,1,1,61.77,60.61
4,204,6164,2,1,65.09,59.31
4,204,6164,3,1,57.54,62.95
4,204,6164,4,1,NA,NA
4,204,6546,1,0,62.5,64.64
4,204,6546,2,0,64.02,66.45
4,204,6546,3,0,74.16,65.97
4,204,6546,4,0,NA,NA
4,204,6727,3,0,68.66,64.73
4,204,6727,4,0,NA,NA
4,204,6727,1,0,63.84,66.5
4,204,6727,2,0,64.78,NA
4,204,6744,4,0,NA,NA
4,204,6744,1,0,68.51,61.45
4,204,6744,2,0,76.12,65.61
4,204,6744,3,0,76.87,62.11
4,204,6798,1,1,79.97,72.94
4,204,6798,2,1,85.55,74.32
4,204,6798,3,1,88.33,79.11
4,204,6798,4,1,88.62,82.03
4,204,6817,1,0,NA,53.55
4,204,6817,2,0,57.35,58.25
4,204,6817,3,0,NA,59.28
4,204,6817,4,0,NA,NA
2,205,1431,1,1,83.87,77.03
2,205,1431,2,1,85.1,80.33
2,205,1431,3,1,87.61,87.31
2,205,1431,4,1,90.83,85.62
2,205,1436,1,0,49.05,39.58
2,205,1436,2,0,NA,NA
2,205,1436,3,0,NA,NA
2,205,1436,4,0,NA,NA
2,205,1526,1,1,55.24,37.55
2,205,1526,2,1,51,31.64
2,205,1526,3,1,NA,NA
2,205,1526,4,1,62.96,55.62
2,205,1820,1,1,NA,NA
2,205,1820,2,1,59.2,52.68
2,205,1820,3,1,NA,52.41
2,205,1820,4,1,68.57,63.9
2,205,1864,1,0,NA,NA
2,205,1864,2,0,NA,NA
2,205,1864,3,0,NA,43.54
2,205,1864,4,0,57.77,53.36
2,205,1916,1,1,60.91,59.64
2,205,1916,2,1,NA,64.81
2,205,1916,3,1,73.79,74.77
2,205,1916,4,1,NA,NA
2,205,2014,1,0,73.46,68.43
2,205,2014,2,0,81.43,75.87
2,205,2014,3,0,86.11,78.31
2,205,2014,4,0,NA,74.32
2,205,2053,3,1,NA,NA
2,205,2053,4,1,NA,NA
2,205,2053,1,1,45.47,42.96
2,205,2053,2,1,59.7,38.74
2,205,2106,1,0,66.72,76.65
2,205,2106,2,0,62.17,NA
2,205,2106,3,0,72.68,76
2,205,2106,4,0,NA,NA
2,205,2412,1,0,70.57,70.85
2,205,2412,2,0,78.93,70.91
2,205,2412,3,0,NA,NA
2,205,2412,4,0,NA,NA
2,205,2573,1,0,72.35,NA
2,205,2573,2,0,73.27,61.39
2,205,2573,3,0,NA,NA
2,205,2573,4,0,NA,NA
2,205,2598,1,1,83.13,72.54
2,205,2598,2,1,80.8,79.11
2,205,2598,3,1,89.96,79.57
2,205,2598,4,1,89.81,81.7
2,205,3018,1,1,69.08,71.7
2,205,3018,2,1,74.87,81.08
2,205,3018,3,1,NA,76.69
2,205,3018,4,1,74.06,80.14
2,205,3730,3,1,NA,64.6
2,205,3730,4,1,79.91,68.76
2,205,3730,1,1,62.82,58.06
2,205,3730,2,1,74.42,66.38
2,205,3776,2,1,84.31,78.97
2,205,3776,1,1,79.28,75.18
2,205,3776,3,1,89.87,80.55
2,205,3776,4,1,89.21,NA
2,205,4030,1,0,71.92,73.72
2,205,4030,2,0,82.28,74.88
2,205,4030,3,0,NA,NA
2,205,4030,4,0,NA,NA
2,205,4163,1,0,74.54,78.84
2,205,4163,2,0,78.66,73.17
2,205,4163,3,0,NA,NA
2,205,4163,4,0,82.25,73.43
2,205,4365,3,0,88.28,80.28
2,205,4365,1,0,80.45,78.29
2,205,4365,2,0,88.48,79.29
2,205,4365,4,0,NA,84.83
2,205,4824,1,1,NA,NA
2,205,4824,2,1,70.94,65.39
2,205,4824,3,1,87.37,66.6
2,205,4824,4,1,85.52,60.92
2,205,4949,2,0,NA,NA
2,205,4949,3,0,NA,NA
2,205,4949,4,0,63.26,61.68
2,205,4949,1,0,59.17,53.28
2,205,5022,1,0,63.73,NA
2,205,5022,2,0,NA,NA
2,205,5022,3,0,NA,NA
2,205,5022,4,0,NA,NA
2,205,5538,1,0,71.6,69.9
2,205,5538,2,0,73.62,74.5
2,205,5538,3,0,74.35,75.61
2,205,5538,4,0,79.59,75.68
2,205,5857,3,0,NA,NA
2,205,5857,4,0,NA,NA
2,205,5857,1,0,45.49,62.91
2,205,5857,2,0,NA,NA
2,205,5886,1,0,44.99,46.76
2,205,5886,2,0,42.83,56.07
2,205,5886,3,0,38.19,NA
2,205,5886,4,0,NA,NA
2,205,5888,1,0,73.32,69.19
2,205,5888,2,0,70.71,71.76
2,205,5888,3,0,66.73,70.78
2,205,5888,4,0,74.42,76.03
2,205,5890,3,1,78.18,74.77
2,205,5890,1,1,62.45,63.28
2,205,5890,4,1,81.63,NA
2,205,5890,2,1,71.56,68.23
2,205,6109,2,1,77.58,78.79
2,205,6109,3,1,95.35,91.17
2,205,6109,4,1,NA,83.24
2,205,6109,1,1,80.27,79.92
2,205,6432,1,0,69.02,69.32
2,205,6432,2,0,71.86,70.3
2,205,6432,3,0,NA,74.05
2,205,6432,4,0,NA,NA
5,208,1060,2,0,NA,61.89
5,208,1060,3,0,NA,NA
5,208,1060,4,0,NA,NA
5,208,1060,1,0,61.82,61.94
5,208,1520,1,0,64.76,59.15
5,208,1520,2,0,NA,55.86
5,208,1520,3,0,NA,63.37
5,208,1520,4,0,NA,NA
5,208,1717,1,0,NA,52.11
5,208,1717,2,0,NA,47.84
5,208,1717,3,0,NA,51.82
5,208,1717,4,0,NA,NA
5,208,2232,1,0,59.61,60.75
5,208,2232,2,0,NA,NA
5,208,2232,3,0,NA,NA
5,208,2232,4,0,NA,NA
5,208,2511,1,1,NA,NA
5,208,2511,2,1,NA,NA
5,208,2511,3,1,NA,NA
5,208,2511,4,1,NA,NA
5,208,2825,4,0,71.88,70.38
5,208,2825,2,0,68.81,65.61
5,208,2825,3,0,71.03,68.39
5,208,2825,1,0,61.14,65.6
5,208,3302,1,0,53.5,55.7
5,208,3302,2,0,NA,53.5
5,208,3302,3,0,NA,60.1
5,208,3302,4,0,76.55,68.54
5,208,3412,1,0,77.96,81.75
5,208,3412,2,0,79.06,82.35
5,208,3412,3,0,79.6,80.24
5,208,3412,4,0,87.89,81.73
5,208,3608,1,0,58.1,64.81
5,208,3608,2,0,NA,NA
5,208,3608,3,0,NA,63.48
5,208,3608,4,0,NA,NA
5,208,3683,1,0,71.46,68.66
5,208,3683,2,0,NA,NA
5,208,3683,3,0,63.07,NA
5,208,3683,4,0,NA,NA
5,208,3747,1,0,51.92,56.99
5,208,3747,3,0,51.28,58.55
5,208,3747,4,0,NA,NA
5,208,3747,2,0,53.41,61.54
5,208,3839,1,0,66.91,65.21
5,208,3839,2,0,75.27,65.54
5,208,3839,3,0,NA,NA
5,208,3839,4,0,NA,NA
5,208,4016,1,1,NA,48.17
5,208,4016,2,1,NA,NA
5,208,4016,3,1,NA,NA
5,208,4016,4,1,49.03,NA
5,208,4631,2,0,56.81,62.85
5,208,4631,3,0,61.34,NA
5,208,4631,4,0,NA,NA
5,208,4631,1,0,62.97,58.76
5,208,4723,4,1,61.12,65.85
5,208,4723,1,1,NA,65.83
5,208,4723,2,1,NA,67.54
5,208,4723,3,1,64.76,63.57
5,208,4770,1,1,NA,49.7
5,208,4770,2,1,NA,NA
5,208,4770,3,1,NA,43.56
5,208,4770,4,1,NA,37.45
5,208,4845,1,0,NA,NA
5,208,4845,2,0,65.32,56.66
5,208,4845,3,0,45.54,NA
5,208,4845,4,0,NA,NA
5,208,5173,1,0,45.82,50.34
5,208,5173,2,0,39.33,NA
5,208,5173,3,0,38.81,NA
5,208,5173,4,0,43.4,NA
5,208,5363,2,0,NA,45.32
5,208,5363,3,0,63.02,NA
5,208,5363,4,0,NA,39.09
5,208,5363,1,0,NA,47.13
5,208,5404,1,1,NA,NA
5,208,5404,2,1,NA,36.01
5,208,5404,3,1,NA,32.86
5,208,5404,4,1,NA,66.45
5,208,5640,1,0,56.43,53.93
5,208,5640,2,0,NA,49.63
5,208,5640,3,0,NA,47.63
5,208,5640,4,0,NA,NA
5,208,6578,4,1,NA,NA
5,208,6578,1,1,76.8,80.63
5,208,6578,2,1,74.84,79.97
5,208,6578,3,1,NA,NA
5,208,6585,1,0,NA,NA
5,208,6585,2,0,37.4,54.55
5,208,6585,3,0,44.47,NA
5,208,6585,4,0,NA,NA
5,208,6927,3,1,60.93,NA
5,208,6927,2,1,69.23,NA
5,208,6927,4,1,NA,NA
5,208,6927,1,1,63.49,67.27
3,209,1657,1,1,NA,NA
3,209,1657,3,1,50.48,52.49
3,209,1657,2,1,NA,NA
3,209,1657,4,1,41.35,44.27
3,209,1898,4,1,72.14,74.1
3,209,1898,1,1,NA,64.75
3,209,1898,2,1,64.51,NA
3,209,1898,3,1,69.33,65.13
3,209,2182,2,1,NA,NA
3,209,2182,3,1,97.39,83.45
3,209,2182,4,1,92.29,89.67
3,209,2182,1,1,71.13,NA
3,209,2709,1,1,58.95,72.73
3,209,2709,2,1,NA,NA
3,209,2709,3,1,77.43,77.07
3,209,2709,4,1,NA,77.36
3,209,3186,2,0,NA,NA
3,209,3186,3,0,53.58,NA
3,209,3186,4,0,62.27,47.39
3,209,3186,1,0,40.69,50.55
3,209,3604,2,1,NA,NA
3,209,3604,3,1,70.16,62.49
3,209,3604,1,1,NA,NA
3,209,3604,4,1,64.39,65.96
3,209,3618,2,0,NA,NA
3,209,3618,4,0,75.02,79.33
3,209,3618,1,0,NA,NA
3,209,3618,3,0,NA,NA
3,209,3735,1,0,44.16,NA
3,209,3735,2,0,NA,NA
3,209,3735,3,0,59.45,NA
3,209,3735,4,0,NA,NA
3,209,4422,1,0,NA,NA
3,209,4422,2,0,NA,NA
3,209,4422,3,0,NA,52.34
3,209,4422,4,0,NA,NA
3,209,4917,1,0,57.5,60.81
3,209,4917,2,0,NA,NA
3,209,4917,3,0,68.31,58.25
3,209,4917,4,0,64.98,57.7
2,210,1159,1,1,NA,NA
2,210,1159,2,1,NA,NA
2,210,1159,3,1,45.09,62.4
2,210,1159,4,1,NA,NA
2,210,1821,1,0,61.91,64.22
2,210,1821,2,0,64.76,61.72
2,210,1821,3,0,NA,NA
2,210,1821,4,0,71.72,70.27
2,210,1958,2,1,49.98,NA
2,210,1958,3,1,NA,NA
2,210,1958,4,1,55.38,54.91
2,210,1958,1,1,34.75,NA
2,210,2123,4,1,86.98,85.56
2,210,2123,3,1,87.86,83.89
2,210,2123,1,1,80.73,72.72
2,210,2123,2,1,80.65,75.45
2,210,2379,1,1,43.26,65.25
2,210,2379,2,1,NA,61.28
2,210,2379,3,1,69.64,72.92
2,210,2379,4,1,72.56,75.07
2,210,2466,1,1,63.33,67.93
2,210,2466,2,1,78.95,NA
2,210,2466,3,1,78.44,66.97
2,210,2466,4,1,72.08,67.87
2,210,2563,1,1,52.52,69.95
2,210,2563,2,1,59.13,70.5
2,210,2563,3,1,NA,NA
2,210,2563,4,1,67.74,78.59
2,210,3016,1,0,55.61,53.5
2,210,3016,2,0,51.3,58.96
2,210,3016,3,0,NA,NA
2,210,3016,4,0,NA,NA
2,210,3681,2,1,54.67,48.4
2,210,3681,3,1,NA,NA
2,210,3681,4,1,40.3,50.49
2,210,3681,1,1,NA,38.5
2,210,3785,2,1,54.29,NA
2,210,3785,3,1,NA,NA
2,210,3785,4,1,78.54,67.4
2,210,3785,1,1,39.55,51.5
2,210,3999,1,1,64.23,NA
2,210,3999,2,1,NA,NA
2,210,3999,3,1,NA,NA
2,210,3999,4,1,69.91,65.05
2,210,4095,1,0,58.07,52.11
2,210,4095,2,0,54.99,57.73
2,210,4095,3,0,NA,NA
2,210,4095,4,0,67.1,55.26
2,210,4122,1,1,48.64,44.26
2,210,4122,2,1,48.96,62.45
2,210,4122,3,1,NA,NA
2,210,4122,4,1,63.06,60.09
2,210,4650,1,1,54.68,70.9
2,210,4650,2,1,67.33,67.4
2,210,4650,3,1,NA,NA
2,210,4650,4,1,69.72,69.76
2,210,4763,1,0,51.95,NA
2,210,4763,2,0,59.24,59.46
2,210,4763,3,0,NA,NA
2,210,4763,4,0,63.05,62.75
2,210,4968,2,0,49.64,47.25
2,210,4968,3,0,NA,NA
2,210,4968,4,0,NA,NA
2,210,4968,1,0,48.01,41.88
2,210,5653,2,0,75.64,NA
2,210,5653,3,0,NA,NA
2,210,5653,4,0,84.06,64.29
2,210,5653,1,0,NA,63.65
2,210,5681,1,0,60.68,41.9
2,210,5681,2,0,64.31,55.89
2,210,5681,3,0,NA,NA
2,210,5681,4,0,68.39,57.79
2,210,5852,2,0,NA,NA
2,210,5852,3,0,60.04,NA
2,210,5852,4,0,63.48,65.64
2,210,5852,1,0,41.42,45.38
2,210,5931,1,0,46.73,48.24
2,210,5931,2,0,52.62,49.6
2,210,5931,3,0,43.98,NA
2,210,5931,4,0,NA,NA
2,210,6915,4,1,NA,NA
2,210,6915,1,1,NA,61.51
2,210,6915,2,1,70.5,NA
2,210,6915,3,1,NA,NA
3,212,1214,2,0,78.03,74.8
3,212,1214,3,0,87.69,82.21
3,212,1214,4,0,NA,NA
3,212,1214,1,0,72.69,68.14
3,212,1547,1,1,66.13,64.08
3,212,1547,2,1,NA,67.44
3,212,1547,3,1,72.97,71.86
3,212,1547,4,1,NA,NA
3,212,1755,1,0,64.18,58.18
3,212,1755,2,0,66.97,65.38
3,212,1755,3,0,NA,NA
3,212,1755,4,0,NA,NA
3,212,1802,1,0,74.12,70.21
3,212,1802,2,0,77.57,75.42
3,212,1802,3,0,80.04,74.19
3,212,1802,4,0,92.4,78.69
3,212,2356,3,0,NA,NA
3,212,2356,4,0,NA,NA
3,212,2356,2,0,60.14,65.48
3,212,2356,1,0,57.86,63.81
3,212,2924,1,1,NA,NA
3,212,2924,2,1,NA,NA
3,212,2924,3,1,NA,NA
3,212,2924,4,1,NA,NA
3,212,3021,1,0,68.99,66.29
3,212,3021,2,0,79.03,71.54
3,212,3021,3,0,NA,NA
3,212,3021,4,0,NA,NA
3,212,3274,1,0,66.68,67
3,212,3274,2,0,78.87,61.35
3,212,3274,4,0,NA,NA
3,212,3274,3,0,NA,NA
3,212,3532,1,1,70.13,65.63
3,212,3532,2,1,NA,NA
3,212,3532,3,1,NA,53.03
3,212,3532,4,1,NA,NA
3,212,3545,1,1,NA,NA
3,212,3545,2,1,NA,NA
3,212,3545,3,1,NA,NA
3,212,3545,4,1,NA,NA
3,212,3757,1,1,NA,44.09
3,212,3757,2,1,68.28,53.43
3,212,3757,4,1,NA,NA
3,212,3757,3,1,NA,NA
3,212,3876,1,0,73.19,69.89
3,212,3876,2,0,81.54,80.44
3,212,3876,3,0,77.94,83.98
3,212,3876,4,0,99.3,86.48
3,212,4135,1,0,77.67,63.85
3,212,4135,2,0,87.07,69.84
3,212,4135,3,0,NA,NA
3,212,4135,4,0,87.35,66.08
3,212,4187,1,0,86.83,84.68
3,212,4187,2,0,91.31,81.64
3,212,4187,3,0,86.03,88.3
3,212,4187,4,0,92.48,88.91
3,212,4215,1,0,70.7,63.03
3,212,4215,2,0,NA,NA
3,212,4215,3,0,76.95,73.92
3,212,4215,4,0,NA,NA
3,212,4262,1,0,NA,NA
3,212,4262,2,0,NA,NA
3,212,4262,3,0,NA,NA
3,212,4262,4,0,NA,NA
3,212,4303,2,0,NA,NA
3,212,4303,3,0,NA,NA
3,212,4303,4,0,NA,NA
3,212,4303,1,0,NA,46.32
3,212,4320,1,1,NA,NA
3,212,4320,2,1,NA,NA
3,212,4320,3,1,NA,45.43
3,212,4320,4,1,NA,NA
3,212,4334,1,0,67.3,64.76
3,212,4334,2,0,74.82,67.8
3,212,4334,3,0,NA,NA
3,212,4334,4,0,NA,NA
3,212,4588,2,0,NA,NA
3,212,4588,3,0,NA,NA
3,212,4588,4,0,NA,NA
3,212,4588,1,0,NA,NA
